title,release_year,budget,revenue,runtime,mpaa_rating_numeric,director_score,cast_score,genre_war,genre_western,genre_sci-fi,genre_biography,genre_musical,genre_thriller,genre_mystery,genre_news,genre_sport,genre_animation,genre_adventure,genre_family,genre_crime,genre_music,genre_romance,genre_history,genre_fantasy,genre_drama,genre_horror,genre_action,genre_comedy,genre_documentary
The Shining,1980,19000000,44781695,144,4,8.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Popeye,1980,20000000,49823037,114,2,6.8,4.8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Airplane!,1980,3500000,83453539,88,2,7.3,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Elephant Man,1980,5000000,26000000,124,2,7.4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Flash Gordon,1980,35000000,27100000,111,2,6.5,3.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Blue Lagoon,1980,4500000,58853106,104,4,6.5,3.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Superman II,1980,54000000,190458706,127,2,5.9,4.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Changeling,1980,7600000,12000000,105,4,6.6,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Heaven's Gate,1980,44000000,3484331,218,4,7.2,4.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
The Gods Must Be Crazy,1980,5000000,200000000,109,2,7.3,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Somewhere in Time,1980,5100000,9709597,103,2,7.2,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Fame,1980,8500000,42000000,134,4,7.3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
The Final Countdown,1980,12000000,16647800,103,2,6.4,4.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Kagemusha,1980,6000000,4000000,180,2,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Dressed to Kill,1980,6500000,31899000,105,4,6.7,4.8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Blues Brothers,1980,27000000,115229890,133,4,7.5,4.7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Raging Bull,1980,18000000,23380203,129,4,7.6,8.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Fog,1980,1000000,21448830,90,4,6.9,6.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Smokey and the Bandit II,1980,17000000,66100000,100,2,5.6,3.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Ordinary People,1980,6000000,54766923,124,4,7,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Battle Beyond the Stars,1980,2000000,11000000,104,2,5.5,3.3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Nine to Five,1980,10000000,103300000,110,2,6.9,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Altered States,1980,15000000,19853892,102,4,6.5,4.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Long Riders,1980,10000000,15795189,99,4,6.3,6.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Private Benjamin,1980,15000000,69800000,110,4,6.6,3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Coal Miner's Daughter,1980,15000000,67182787,125,2,6.7,6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Brubaker,1980,9000000,37121708,125,4,7.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Any Which Way You Can,1980,15000000,70687344,115,2,6.1,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Atlantic City,1980,7200000,12729675,104,4,7.3,5.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Xanadu,1980,20000000,22762571,96,2,5.3,3.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
The Jazz Singer,1980,13000000,27118000,115,2,5.6,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
The Big Red One,1980,4500000,7206220,113,4,7.1,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Watcher in the Woods,1980,9000000,5000000,83,2,6.1,3.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Breaker Morant,1980,1000000,8200000,107,2,7,4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Possession,1981,2400000,1200000,124,4,7.3,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Heavy Metal,1981,9300000,20118654,90,4,6.6,3.9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Das Boot,1981,14000000,85000000,150,4,7.1,4.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
