title,release_year,budget,runtime,mpaa_rating_numeric,metascore,director_score,cast_score,genre_war,genre_western,genre_sci-fi,genre_biography,genre_musical,genre_thriller,genre_mystery,genre_news,genre_sport,genre_animation,genre_adventure,genre_family,genre_crime,genre_music,genre_romance,genre_history,genre_fantasy,genre_drama,genre_horror,genre_action,genre_comedy,genre_documentary
The Jazz Singer,1980,13000000,115,2,37,5.6,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
The Big Red One,1980,4500000,113,4,77,7.1,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Watcher in the Woods,1980,9000000,83,2,52,6.1,3.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Breaker Morant,1980,1000000,107,2,72,7,4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Possession,1981,2400000,124,4,75,7.3,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Heavy Metal,1981,9300000,90,4,51,6.6,3.9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Das Boot,1981,14000000,150,4,85,7.1,4.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Time Bandits,1981,5000000,116,2,79,7.1,4.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Clash of the Titans,1981,12000000,118,2,59,6.9,4.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Thief,1981,5500000,123,4,78,6.9,4.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Excalibur,1981,11000000,141,2,56,6.5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
The Cannonball Run,1981,18000000,95,2,28,5.6,4.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Raiders of the Lost Ark,1981,18000000,115,2,86,7.5,6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Quest for Fire,1981,12000000,100,4,79,7.4,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
History of the World: Part I,1981,11000000,92,4,47,6.8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
The Fox and the Hound,1981,12000000,82,1,65,7.2,4.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
An American Werewolf in London,1981,10000000,97,4,55,7.5,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Porky's,1981,4000000,94,4,40,5.2,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Howling,1981,1000000,91,4,68,6.6,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Halloween II,1981,2500000,92,4,40,5.2,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
For Your Eyes Only,1981,28000000,128,2,54,6.6,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Outland,1981,18000000,109,4,48,6.3,4.3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Escape to Victory,1981,10000000,116,2,57,6.6,5.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Scanners,1981,4100000,103,4,60,6.7,4.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mad Max 2,1981,2000000,96,4,77,6.6,5.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Gallipoli,1981,3000000,112,2,65,7.3,5.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Mommie Dearest,1981,5000000,128,4,55,6.6,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chariots of Fire,1981,5500000,123,2,78,7.1,4.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Postman Always Rings Twice,1981,12000000,122,4,61,6.6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Reds,1981,35000000,195,2,76,6.6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
On Golden Pond,1981,15000000,109,2,68,6.9,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cutter's Way,1981,3000000,105,4,70,6.8,5.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
